project;commit;benchmark;params;effectSize5;effectSize10;effectSize15;effectSize20;effectSize25;wilcoxon5;wilcoxon10;wilcoxon15;wilcoxon20;wilcoxon25;ciRatio5;ciRatio10;ciRatio15;ciRatio20;ciRatio25
log4j2;;org.apache.logging.log4j.perf.jmh.VarargsBenchmark.baseline;;0.008668760628188457;5.473947394739474E-4;0.0017457591518303661;0.00231501;0.005822036610983295;0.28841920945454347;0.9465510234627943;0.8307069869622792;0.7767762793500004;0.475858360761782;0.0;0.002375000000000016;0.0014019999999999033;0.0;6.569999999999077E-4
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.04069259708560516;0.02311068062140412;0.00887149962095757;0.003026178267909032;0.006162075584981574;1.937327706411849E-6;0.006840028147079103;0.2993003158704417;0.7232850828479114;0.47031841851231915;7.509999999999462E-4;1.6729999999998135E-4;0.08579250000000005;0.056114600000000014;0.029915299999999978
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.cloneArrayContextData;count=500&length=20;0.028048633000220296;0.022530392919113008;0.005402170706468344;0.009796452112035543;0.007315421459065423;6.012916053242613E-4;0.005857194850842534;0.5087190092178207;0.2309231534762255;0.3708889741705591;0.011196999999999901;0.004086999999999952;0.0;0.0;0.0
log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.iso8859_1Encoder;;0.022356835683568357;0.004314241424142414;0.013695218087234893;0.005699629962996299;0.00199102;0.006181312224547856;0.5972508229646601;0.09352193119157559;0.48516196442469117;0.8073523716597393;0.002726999999999924;0.0022500000000000853;0.0;0.0;0.0
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putHashContextData;count=5&length=20;0.01654374858427937;0.005338863886388639;0.01073098608990812;0.0011546154615461547;0.0019997899379896986;0.04276118213375739;0.5132136546740897;0.18878784254601444;0.8875509005125932;0.8065300850476262;0.0013623999999999858;7.471999999999479E-4;0.0;0.0;1.6450000000001186E-4
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putMap;count=500&length=20;0.010762762444861348;0.0026648529439402585;0.006393918719804774;0.0013522056346462813;0.005865736573657365;0.18748190768163442;0.7441580352839788;0.433607626250494;0.8684763673215053;0.472530931551862;0.0;0.0016599999999999948;2.1900000000019126E-5;0.0;4.2279999999994544E-4
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadLocalVsPoolBenchmark.newInstance;;0.021338138405911745;0.014064450514976798;0.012050446684324046;0.003602169701002272;0.002389852419506048;0.009013352090836072;0.08515968256137585;0.14025592551726462;0.6593347951351198;0.7698944642500811;0.0;0.0;0.0;0.0036080000000000556;0.001999000000000084
log4j2;;org.apache.logging.log4j.perf.jmh.TextEncoderHelperBenchmark.toStringMCD;;0.06002342398233175;0.07948722869408417;0.027168877530209534;0.02645874329805083;0.007856875973156428;2.003224002883974E-13;2.2235365104349877E-22;8.810299313539248E-4;0.0011985517316426553;0.33612103594740905;0.0;0.00411640000000002;0.004583000000000004;0.004532599999999998;0.0
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=5&threadContextMapAlias=CopySortedArray;0.011942302690807241;0.00264518355506652;0.023477975595119025;0.004213152630526105;0.016987077415483096;0.14360941636678204;0.7459871713356578;0.004037238927601603;0.6058788517209694;0.037495500012782824;0.001257399999999964;0.0;0.0;0.0;0.005344999999999933
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=500&threadContextMapAlias=NoGcSortedArray;0.06832238690509043;0.03417077054774891;0.046469133361981066;0.01916703321497266;0.029825802580258024;5.925268135635147E-17;2.8563211722672025E-5;1.2640376456218467E-8;0.018910199940561655;2.594799270783011E-4;0.0;0.0;0.0;0.008976000000000095;0.0
